,res_id,mid_x,mid_y,mid_z
484,485,10.012,1.115,3.1174999999999997
485,486,3.3555,0.7335,2.223
486,487,5.5565,2.7325,1.8969999999999998
487,488,7.961,9.409,3.052
488,489,5.7364999999999995,1.25,2.5460000000000003
489,490,1.7195,2.3285,0.6205
490,491,3.069,7.2585,5.1875
491,492,10.548,1.1385,8.757000000000001
492,493,11.0445,4.98,4.952
493,494,2.3815,4.1365,4.5105
494,495,3.4405,3.2785,8.227
495,496,6.5920000000000005,2.3765,7.006
496,497,1.86,2.1260000000000003,11.14549
497,498,8.4665,5.022,1.4685000000000001
498,499,2.976,4.1565,1.776
499,500,0.33299999999999996,4.4695,1.029
500,501,2.8675,3.622,6.0920000000000005
501,502,5.031000000000001,10.687999999999999,9.8155
502,503,1.309,0.3485,8.250499999999999
503,504,1.8275000000000001,8.9265,9.4535
504,505,6.137499999999999,9.6195,11.14599
505,506,10.410499999999999,2.83,4.951499999999999
506,507,3.259,0.3255,6.3015
507,508,8.145999999999999,3.9000000000000004,9.798
508,509,7.5504999999999995,1.392,6.3045
509,510,0.933,2.8345000000000002,2.984
510,511,1.3944999999999999,1.9475,5.8635
511,512,10.969000000000001,4.4935,11.0155
512,513,10.1985,1.5625,1.292
513,514,5.2805,8.8775,2.19
514,515,8.221499999999999,2.263,0.04599999999999999
515,516,3.154,8.0955,1.5434999999999999
516,517,6.2415,9.757,7.6495
517,518,1.112,9.7415,1.3744999999999998
518,519,3.246,10.9395,11.20949
519,520,7.63,5.966,4.209
520,521,9.279499999999999,7.9485,10.8215
521,522,9.0145,1.6280000000000001,7.454000000000001
522,523,1.3225,5.124,3.466
523,524,0.5585,10.6415,5.8870000000000005
524,525,9.374500000000001,0.33799999999999997,2.856
525,526,2.564,2.314,4.9785
526,527,2.817,2.2785,3.1445
527,528,2.6055,4.9855,9.642
528,529,6.312,7.5785,8.2775
529,530,9.4455,4.954000000000001,3.0135
530,531,7.005,7.968999999999999,9.8355
531,532,0.6725,9.7705,7.224500000000001
532,533,8.213000000000001,9.1735,5.1240000000000006
533,534,6.327,2.955,10.8515
534,535,2.8845,10.768,7.2855
535,536,5.662,5.1754999999999995,5.6655
536,537,0.6605,3.3760000000000003,7.955500000000001
537,538,7.8660000000000005,4.687,5.2265
538,539,9.1035,2.3665000000000003,1.8105000000000002
539,540,2.3945,0.7809999999999999,4.57
540,541,8.5075,9.0495,1.4465
541,542,11.036,10.24,3.924
542,543,10.203,2.9875,3.7634999999999996
543,544,9.849,2.7904999999999998,10.3555
544,545,4.3865,3.759,7.416
545,546,8.895,8.418,1.871
546,547,7.462,1.254,5.7925
547,548,9.0945,8.693000000000001,4.8325
548,549,10.232,4.9575,3.5645
549,550,6.587,2.8,10.2385
550,551,8.9235,2.699,7.129
551,552,9.7865,10.3195,5.3505
552,553,2.38,7.4985,2.681
553,554,6.901,4.23,2.85
554,555,1.2635,10.888,6.395
555,556,5.409,3.662,9.5335
556,557,4.5745,10.753499999999999,1.3395000000000001
557,558,6.931,9.671,9.051
558,559,6.4105,3.2535,7.3355
559,560,4.6415,4.608,10.821
560,561,10.0435,2.271,9.5825
561,562,7.1575,2.0989999999999998,1.3929999999999998
562,563,5.739,3.207,6.906000000000001
563,564,3.1855,6.316,2.025
564,565,5.218,6.1995000000000005,0.29900000000000004
565,566,10.266,5.0440000000000005,5.0755
566,567,3.1955,1.073,0.20801000000000042
567,568,5.4305,1.7395,0.5415
568,569,3.847,10.578,0.3045
569,570,10.5765,9.4875,1.0034999999999998
570,571,8.0285,7.643,6.5015
571,572,1.8115,7.388,4.135
572,573,8.799499999999998,2.798,3.0155000000000003
573,574,5.6945,1.429,7.25
574,575,9.652999999999999,4.6385000000000005,7.105499999999999
575,576,1.1155,2.268,4.2605
576,577,6.182,1.75,5.715999999999999
577,578,9.109,10.2425,2.806
578,579,10.008,9.443999999999999,9.8895
579,580,0.0535,2.5065,5.1145
580,581,9.4925,10.2815,10.622
581,582,1.085,8.895499999999998,7.974
582,583,3.4935,2.636,3.778
583,584,3.033,7.734999999999999,10.9825
584,585,5.906000000000001,0.6735,4.6005
585,586,0.841,1.887,8.136500000000002
586,587,2.1545,9.430499999999999,2.904
587,588,6.0745000000000005,2.447,8.5425
588,589,7.476,1.634,9.6645
589,590,10.089500000000001,6.741,10.3555
590,591,8.038,8.607,9.4405
591,592,1.232,9.174,3.6635
592,593,5.7415,2.396,9.696000000000002
593,594,8.772,1.4340000000000002,10.100999999999999
594,595,4.0375,0.11301000000000094,5.618
595,596,10.1795,8.999500000000001,8.8975
596,597,0.07250999999999941,2.7030000000000003,3.753
597,598,7.7825,1.7315,1.125
598,599,1.3725,5.111,8.517
599,600,1.7555,8.321000000000002,4.564
600,601,1.6895,2.3265000000000002,8.9815
601,602,2.4035,6.089499999999999,7.7170000000000005
602,603,8.588000000000001,10.913,6.999
603,604,10.818999999999999,9.567,8.7
604,605,0.444,4.2245,2.8179999999999996
605,606,7.7,5.989,0.301
606,607,4.4915,6.257,1.093
607,608,2.7750000000000004,3.3209999999999997,0.1350100000000004
608,609,4.3315,2.9269999999999996,4.9544999999999995
609,610,1.2415,0.702,9.8235
610,611,2.4770000000000003,1.154,10.3215
611,612,0.319,7.9725,10.672
612,613,7.5355,6.1895,5.7545
613,614,11.032499999999999,4.428,0.7105
614,615,1.7825,3.2445,3.641
615,616,3.162,10.317499999999999,3.4505
616,617,10.657499999999999,7.743,9.229
617,618,1.897,7.3425,10.925
618,619,10.7935,10.3095,3.064
619,620,4.1405,10.644,8.979500000000002
620,621,4.9265,10.182,6.396
621,622,8.582999999999998,1.831,3.135
622,623,2.0765000000000002,8.8225,2.1189999999999998
623,624,9.707,0.6905,0.7464999999999999
624,625,3.3405,7.0915,9.648
625,626,7.393000000000001,10.828,10.1995
626,627,1.854,6.1615,9.4855
627,628,0.8625,7.635,0.531
628,629,1.407,6.4495000000000005,3.046
